D015539,D007899,D001790,D005340,D013997,D005082
D018899,D020506,D010641,D020506,D019175,D044127
D014129,D007429,D009898,D005902,D016212,D001253
D006967,D017189,D009132,D004064,D000947,D009119
D009132,D004614,D009133,D032446,D012002,D013234
D001665,D055503,D058767,D008968,D054730,D055595
D016898,D005921,D011092,D003449,D007155,D000998
D024821,D001773,D009504,D001654,D008099,D015415
D003922,D001773,D016207,D015551,D006377,D006377
D017124,D010802,D005075,D017433,D000595,D017386
D012951,D006126,D012919,D001523,D000124,D000294
D000679,D013347,D013574,D004027,D022082,D009420
D005938,D002319,D002490,D008660,D056704,D009141
D015430,D018712,D044343,D006949,D005943,D050155
D000075224,D006973,D002346,D012119,D005921,D009203
D060085,D012553,D005243,D007411,D006373,D014556
D055354,D063646,D009385,D055598,D057809,D045744
D020121,D020413,D010641,D018899,D004198,D008745
D002196,D006424,D011655,D011651,D010949,D006439
D009217,D018657,D007890,D009141,D005318,D009206
D055166,D018836,D064420,D004064,D000893,D019161
D015870,D015723,D012689,D015345,D000595,D009928
D000897,D015154,D013270,D041742,D005759,D001284
D005506,D000066888,D002273,D005524,D005396,D005525
D011485,D019943,D017510,D001665,D008968,D054730
D009435,D018756,D009142,D010487,D008606,D046352
D015536,D015972,D018392,D055703,D015870,D005786
D049109,D015972,D064113,D057809,D011499,D012326
D013314,D012399,D013718,D008968,D013499,D010316
D006439,D002302,D001775,D002306,D002943,D009142
D001402,D008407,D010323,D028321,D018926,D005512
D016491,D002470,D005123,D001775,D006614,D015415
D015291,D051153,D013950,D002454,D013601,D019070
D043924,D009369,D042783,D009389,D014408,D009360
D020506,D020121,D004198,D044127,D018899,D010641
D002468,D064113,D064593,D000066673,D057809,D017398
D011603,D001244,D000074385,D002755,D021641,D010898
D005525,D000074385,D005396,D005502,D059022,D002273
D012898,D015237,D015232,D000869,D011465,D011453
D002319,D002320,D002943,D014655,D014652,D007668
D008841,D002465,D009375,D010051,D015687,D001685
D020022,D020413,D008745,D044127,D020121,D020862
D000483,D005786,D018392,D015870,D005786,D010334
